material_id,standard_id,first_seen,internal_name,language,size,direction,theme,optimization,stylization,pain_point,exercise_type,r_version,c_version,m_version,designer,designer_variant,serial_code,parse_status,channels,source_files,total_purchases,total_spend,total_impressions,avg_ctr,avg_roas,has_order
251231_AAA_AEO-Purchase_ios_pic_Growme_WW_周跑图组333_joy,00000000_AAA_AEO-PURCHASE_ios_FX-未知_ZT-未知_RS-_未知,,AAA,AEO-PURCHASE,ios,未知,未知,,未知,未知,未知,未知,未知,未知,其他,,,partial,WW,account_all_WW.csv,121.0,28554.83,797069.0,3.01,0.12,True
New App promotion Ad,00000000_GrowMe_EN_9x16_FX-未知_ZT-未知_RS-_未知,,未知,未知,未知,未知,未知,,未知,未知,未知,未知,未知,未知,其他,,,partial,WW,account_all_WW.csv,0.0,0.0,0.0,0.0,0.0,False
20250104_GrowMe_EN_4x5_FX-10 Books_ZT-Midlife Crisis_RS-P1X1R3C1_pingme_wlf,20250104_GrowMe_EN_4x5_FX-10 Books_ZT-Midlife Crisis_RS-P1X1R3C1_pingme_wlf,2025-01-04,GrowMe,EN,4x5,10 Books,Midlife Crisis,,P1X1R3C1,P1,X1,R3,C1,,pingme,wlf,,complete,WW,account_all_WW.csv,0.0,10.53,3067.0,0.78,0.0,False
20250104_GrowMe_EN_4x5_FX-month_ZT-Goodbye Social Media-Crisis_RS-P1X1R3C1_pingme_wlf,20250104_GrowMe_EN_4x5_FX-month_ZT-Goodbye Social Media-Crisis_RS-P1X1R3C1_pingme_wlf,2025-01-04,GrowMe,EN,4x5,month,Goodbye Social Media-Crisis,,P1X1R3C1,P1,X1,R3,C1,,pingme,wlf,,complete,WW,account_all_WW.csv,0.0,12.16,2163.0,1.06,0.0,False
20250105_growme_EN_9x16_FX-test_ZT-read_RS-P1X1R3C1_gy,20250105_growme_EN_9x16_FX-test_ZT-read_RS-P1X1R3C1_gy,2025-01-05,growme,EN,9x16,test,read,,P1X1R3C1,P1,X1,R3,C1,,gy,,,complete,"T1,WW",account_all_WW.csv,93.0,6722.230000000001,5211154.0,1.45,0.22,True
20250309_GrowMe_EN_9x16_FX-book_ZT-20book_RS-P1X1R3C3_095KB_HJ_RMG-1717B,20250309_GrowMe_EN_9x16_FX-book_ZT-20book_RS-P1X1R3C3_095KB,2025-03-09,GrowMe,EN,9x16,book,20book,,P1X1R3C3,P1,X1,R3,C3,,095KB,,RMG-1717B,complete,T1,account_all_WW.csv,0.0,22.07,1129.0,2.13,0.0,False
20250309_GrowMe_EN_9x16_FX-book_ZT-20book_RS-P1X1R3C3_095KB_wxx_HJ_RMG-1717C,20250309_GrowMe_EN_9x16_FX-book_ZT-20book_RS-P1X1R3C3_095KB,2025-03-09,GrowMe,EN,9x16,book,20book,,P1X1R3C3,P1,X1,R3,C3,,095KB,,RMG-1717C,complete,T1,account_all_WW.csv,0.0,0.22,39.0,2.56,0.0,False
20250925_growme_EN_9x16_FX-test_ZT-book_RS-P1X1R3C1_gy,20250925_growme_EN_9x16_FX-test_ZT-book_RS-P1X1R3C1_gy,2025-09-25,growme,EN,9x16,test,book,,P1X1R3C1,P1,X1,R3,C1,,gy,,,complete,T1,account_all_WW.csv,0.0,33.14,3624.0,1.07,0.0,False
20250925_growme_EN_9x16_FX-test_ZT-learning_RS-P1X1R3C1_gy,20250925_growme_EN_9x16_FX-test_ZT-learning_RS-P1X1R3C1_gy,2025-09-25,growme,EN,9x16,test,learning,,P1X1R3C1,P1,X1,R3,C1,,gy,,,complete,T1,account_all_WW.csv,0.0,103.59,4124.0,2.58,0.0,False
20250926_GrowMe_EN_9x16_FX-pic_ZT-test-6_RS-P3X1R1C3_fj,20250926_GrowMe_EN_9x16_FX-pic_ZT-test-6_RS-P3X1R1C3_fj,2025-09-26,GrowMe,EN,9x16,pic,test-6,,P3X1R1C3,P3,X1,R1,C3,,fj,,,complete,"T1,WW",account_all_WW.csv,34.0,7035.610000000001,5038695.0,2.0,0.05,True
